1,238636,3.0
1,335,4.0
1,2395,3.0
1,433,4.0
1,157354,4.0
1,9800,4.0
1,11287,3.0
1,762,3.0
1,4953,4.0
1,667,4.0
1,332,4.0
1,9390,4.0
1,978,4.0
1,281957,1.0
1,7214,4.0
1,228967,3.0
1,3131,3.0
1,168259,5.0
1,5137,2.0
1,227719,4.0
1,2662,2.0
1,660,4.0
1,8390,4.0
1,258509,5.0
1,13649,3.0
1,8065,5.0
1,155,3.0
1,2011,5.0
1,7461,4.0
1,104,4.0
1,72207,4.0
1,49520,3.0
1,8688,3.0
1,50646,4.0
1,1852,3.0
1,11873,4.0
1,89492,3.0
1,10025,3.0
1,8834,3.0
1,10431,4.0
1,64720,4.0
2,1428,1.0
2,10022,4.0
2,1900,4.0
2,105864,3.0
2,1495,4.0
2,22970,4.0
2,4806,4.0
2,82675,4.0
2,1255,4.0
2,19901,4.0
2,1656,3.0
2,8346,3.0
2,9313,5.0
2,46529,3.0
2,644,1.0
2,74534,4.0
2,6282,3.0
2,1726,2.0
2,62213,3.0
2,713,3.0
2,663,3.0
2,1642,3.0
2,9614,4.0
2,37724,5.0
2,568,3.0
2,634,4.0
2,795,3.0
2,80271,5.0
2,22894,4.0
2,14139,4.0
2,225886,4.0
2,4349,5.0
2,431,3.0
2,9928,4.0
2,266647,3.0
2,199,4.0
3,321258,4.0
3,14411,5.0
3,225886,4.0
3,29427,5.0
3,11172,4.0
3,73,4.0
3,9427,4.0
3,2757,4.0
3,7484,3.0
3,242582,3.0
3,767,3.0
3,9315,5.0
3,1900,3.0
3,1688,4.0
3,28,1.0
3,1624,1.0
3,62764,4.0
3,49519,4.0
3,9963,3.0
3,53182,1.0
3,451,4.0
3,8193,5.0
3,196867,4.0
3,109445,4.0
3,210577,5.0
3,259693,5.0
3,714,3.0
3,20829,3.0
4,190859,5.0
4,22881,1.0
4,146,4.0
4,11969,4.0
4,2135,4.0
4,72559,2.0
4,11096,3.0
4,11665,5.0
4,10895,5.0
4,11113,4.0
4,57158,4.0
4,1927,4.0
4,264644,4.0
4,424,4.0
4,294272,3.0
4,44040,4.0
4,46838,4.0
4,18,4.0
4,2255,4.0
4,131634,4.0
4,57201,5.0
4,9279,4.0
4,118340,4.0
4,98357,4.0
4,11072,4.0
4,43933,4.0
4,9880,4.0
4,559,5.0
4,8843,3.0
4,210577,3.0
4,334074,4.0
4,10663,5.0
4,10734,4.0
4,3049,5.0
4,9408,3.0
4,9486,4.0
4,176,3.0
4,11565,4.0
4,109491,4.0
4,241554,4.0
4,1966,3.0
4,80278,5.0
4,8999,4.0
4,429,3.0
4,4816,5.0
4,4512,5.0
4,2493,4.0
4,11439,4.0
4,634,4.0
5,165,4.0
5,8409,3.0
5,72559,5.0
5,71859,4.0
5,1573,2.0
5,3580,4.0
5,9342,4.0
5,6282,4.0
5,12797,4.0
5,13460,5.0
5,617,2.0
5,103620,4.0
5,32823,4.0
5,87101,3.0
5,10661,1.0
5,227159,3.0
5,49013,4.0
5,199373,4.0
5,3021,3.0
5,350,4.0
5,77877,4.0
5,1771,4.0
5,2196,3.0
5,262500,3.0
6,72710,3.0
6,11812,3.0
6,3635,4.0
6,1921,4.0
6,9273,1.0
6,6073,4.0
6,6278,3.0
6,387,5.0
6,22972,5.0
6,1538,4.0
6,4513,4.0
6,36648,5.0
6,252512,3.0
6,2069,5.0
6,4011,4.0
6,744,3.0
6,3580,3.0
6,27205,5.0
6,6477,3.0
6,846,4.0
6,688,4.0
6,11699,4.0
6,6557,4.0
6,504,3.0
6,2666,4.0
6,1266,4.0
6,153,4.0
6,256917,4.0
6,82675,1.0
6,329440,5.0
6,1726,4.0
6,321258,1.0
6,4233,5.0
6,470,4.0
6,2112,5.0
6,76025,1.0
6,73,4.0
7,244786,3.0
7,123553,3.0
7,37724,5.0
7,210577,4.0
7,16617,4.0
7,1422,5.0
7,97020,4.0
7,3683,4.0
7,257445,3.0
7,204082,4.0
7,433,5.0
7,172385,5.0
7,256917,5.0
7,11013,4.0
7,18823,4.0
7,11172,4.0
7,801,2.0
7,1551,3.0
7,62838,4.0
7,117,4.0
7,228326,4.0
7,268238,4.0
7,150540,5.0
8,82507,3.0
8,72571,4.0
8,37786,3.0
8,752,5.0
8,23631,4.0
8,18823,3.0
8,920,4.0
8,14873,4.0
8,14160,4.0
8,222935,4.0
8,141,3.0
8,5528,4.0
8,11283,4.0
8,425,4.0
8,11,3.0
8,72710,3.0
8,639,3.0
8,8914,3.0
8,2034,4.0
8,13483,5.0
8,403,4.0
8,4108,3.0
8,8976,3.0
8,11452,4.0
8,58233,5.0
8,50348,4.0
8,10054,4.0
8,208134,3.0
8,22894,1.0
8,421,4.0
8,401,5.0
8,8469,5.0
8,48231,3.0
8,84174,4.0
8,9277,3.0
8,2486,4.0
8,146233,1.0
8,102382,4.0
8,76203,4.0
8,46838,3.0
9,20533,1.0
9,948,3.0
9,322,3.0
9,192102,2.0
9,316727,3.0
9,9488,2.0
9,323675,3.0
9,199,4.0
9,12133,4.0
9,44264,1.0
9,25195,4.0
9,41154,4.0
9,259694,5.0
9,218043,4.0
9,48988,3.0
9,713,4.0
9,754,4.0
9,109431,3.0
9,4953,3.0
9,49527,3.0
9,13183,4.0
9,55721,5.0
9,41630,3.0
9,5528,4.0
9,241257,4.0
9,9100,3.0
9,11358,5.0
9,36648,1.0
9,1268,4.0
9,11770,1.0
9,12405,3.0
9,10131,2.0
10,77866,4.0
10,160588,5.0
10,205220,4.0
10,9392,5.0
10,99861,4.0
10,11917,4.0
10,2157,3.0
10,62177,3.0
10,9291,4.0
10,1491,5.0
10,417859,4.0
10,11322,3.0
10,11551,5.0
10,2787,5.0
10,2069,3.0
10,4953,2.0
10,4474,1.0
10,1726,5.0
10,2770,4.0
10,10022,3.0
10,268238,4.0
10,1487,4.0
10,19908,3.0
10,11836,4.0
11,6978,3.0
11,9383,4.0
11,2252,4.0
11,9919,3.0
11,7735,3.0
11,9945,3.0
11,31203,2.0
11,76757,5.0
11,12797,5.0
11,1966,3.0
11,19994,4.0
11,674,4.0
11,68722,4.0
11,162,5.0
11,639,4.0
11,1266,3.0
11,11096,2.0
11,1587,4.0
11,254473,3.0
11,18533,5.0
11,82505,4.0
11,15512,3.0
11,2698,4.0
11,1911,4.0
11,76649,2.0
11,137093,3.0
